"Season","Name","Team","G","PA","HR","R","RBI","SB","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","H","1B","2B","3B","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","wOBA","wRAA","wRC","playerid","mlbamid"
"1987","Lloyd Moseby","TOR","155","670","26","106","96","39",".191",".317",".282",".358",".473",".361","119","4.5","20.5","-7.2","3.6","167","110","27","4","70","4","124","2","3","3","11","39","7",".361","19.4","102","1009238","119432"
"1951","Gil Coan","WAS","135","591","9","85","62","8",".123",".330",".303",".357",".426",".361","112","0.0","9.1","1.5","3.0","163","122","25","7","39","","62","6","","8","6","8","5",".361","11.2","81","1002373","112426"
"1946","Elbie Fletcher","PIT","148","651","4","72","66","4",".100",".269",".256",".384",".355",".361","112","0.1","8.9","-7.4","2.2","136","99","25","8","111","","37","0","","8","7","4","",".361","15.1","86","1004150","114235"
"1941","Lou Boudreau","CLE","148","681","10","95","56","9",".157",".271",".257",".355",".415",".361","105","-0.4","4.5","15.1","4.5","149","86","45","8","85","","57","3","","14","11","9","4",".361","15.4","96","1001234","111272"
"1994","Harold Baines","BAL","94","357","16","44","54","0",".190",".307",".294",".356",".485",".361","113","0.0","6.0","-9.8","0.8","96","67","12","1","30","6","49","1","0","0","9","0","0",".361","8.3","53","1000434","110456"
"1911","Dick Hoblitzel","CIN","158","694","11","81","91","32",".125",".298",".289",".342",".415",".361","111","1.4","10.7","-3.9","3.0","180","137","19","13","42","","44","8","","22","","32","",".361","12.5","95","1005871","115993"
"1904","John Titus","PHI","146","565","4","60","55","15",".093","",".294",".362",".387",".361","130","-1.2","17.6","-6.9","3.4","148","114","25","5","46","","","8","","7","","15","",".361","22.7","80","1013085","123363"
"1947","Fred Bankhead","MRS","14","66","0","9","7","1",".020","",".255",".424",".275",".361","106","0.1","0.6","0.4","0.4","13","12","1","0","12","","","3","","1","","1","",".361","1.2","9","1014550",""
"1997","Harold Baines","- - -","137","510","16","55","67","0",".157",".318",".301",".375",".458",".361","118","-0.4","11.2","-13.1","1.6","136","97","23","0","55","11","62","0","3","0","12","0","1",".361","12.1","75","1000434","110456"
"1995","Orlando Merced","PIT","132","545","15","75","83","7",".168",".325",".300",".365",".468",".361","115","0.4","10.6","4.2","3.3","146","98","29","4","52","9","74","1","5","0","9","7","2",".361","12.5","81","1393","118958"
"1970","Tommie Agee","NYM","153","696","24","107","75","31",".182",".345",".286",".344",".469",".361","118","0.5","16.3","10.1","5.2","182","121","30","7","55","3","156","2","2","1","11","31","15",".361","22.4","101","1000080","110084"
"1898","Dusty Miller","CIN","152","653","3","99","90","32",".097","",".299",".351",".396",".361","109","2.5","10.2","-3.4","3.0","175","136","24","12","38","","","9","","20","","32","",".361","13.3","98","1008887","119058"
"2001","Corey Koskie","MIN","153","649","26","100","103","27",".212",".304",".276",".362",".488",".361","119","2.8","17.9","18.0","5.8","155","90","37","2","68","9","118","12","7","0","16","27","6",".361","18.3","99","738","136731"
"1916","Jack Graney","CLE","155","702","5","106","54","10",".143",".268",".241",".355",".384",".361","117","-0.1","12.3","-11.6","2.6","142","82","41","14","102","","72","2","","9","","10","",".361","22.3","90","1004943","115039"
"1888","Dick Johnston","BSN","135","601","12","102","68","35",".176",".298",".296",".314",".472",".361","129","0.1","23.8","-2.7","4.3","173","112","31","18","15","","33","1","","","","35","",".361","30.8","110","1006445","116647"
"1960","Roberto Clemente","PIT","144","620","16","89","94","4",".144",".335",".314",".357",".458",".361","124","-0.9","16.8","-4.8","3.4","179","135","22","6","39","4","72","2","5","4","21","4","5",".361","20.2","90","1002340","112391"
"2003","Scott Podsednik","MIL","154","628","9","100","58","43",".129",".361",".314",".379",".443",".361","117","5.9","19.3","-7.2","3.2","175","129","29","8","56","2","91","4","2","8","11","43","10",".361","17.2","94","1095","325392"
"1896","Steve Brodie","BAL","132","573","2","98","87","25",".091",".304",".297",".363",".388",".361","100","-0.9","-0.9","-0.5","1.9","153","121","19","11","36","","17","18","","3","","25","",".361","3.2","91","1001461","111499"
"1910","Zack Wheat","BRO","156","670","2","78","55","16",".119",".324",".284",".341",".403",".361","116","-1.4","11.0","-4.7","3.2","172","119","36","15","47","","80","6","","11","","16","",".361","19.2","88","1013828","124134"
"1925","Pablo Mesa","CSE","43","194","2","31","25","2",".071","",".300",".387",".371",".361","102","0.5","1.0","-1.8","0.5","51","45","2","2","24","","","","","3","","2","",".361","1.8","28","1015922",""
"1994","Felix Jose","KCR","99","403","11","56","55","10",".172",".355",".303",".362",".475",".361","112","-3.3","3.0","-7.5","0.9","111","71","28","1","35","6","75","0","2","0","9","10","12",".361","9.3","60","1610","116768"
"1915","Heinie Groh","CIN","160","677","3","72","50","12",".101",".303",".290",".354",".390",".361","124","-4.2","12.7","14.0","5.5","170","126","32","9","50","","33","9","","31","","12","17",".361","19.5","89","1005078","115179"
"1938","Frankie Crosetti","NYY","157","757","9","113","55","27",".108",".299",".263",".382",".371",".361","98","-0.8","-2.7","17.7","4.3","166","119","35","3","106","","97","15","","5","","27","12",".361","11.6","109","1002802","112861"
"1934","Harlond Clift","SLB","147","664","14","104","56","7",".161",".295",".260",".357",".421",".361","94","0.0","-5.4","-5.4","1.3","149","95","30","10","84","","100","2","","6","","7","2",".361","10.6","95","1002352","112404"
"1954","Jim Rivera","CHW","145","552","13","62","61","18",".145",".309",".286",".356",".431",".361","116","0.0","10.2","-8.1","2.0","140","103","16","8","49","","68","6","2","5","7","18","10",".361","11.7","74","1011002","121249"
"1951","Billy Goodman","BOS","141","638","0","92","50","7",".077",".318",".297",".388",".374",".361","102","0.4","1.9","-6.2","1.6","162","124","34","4","79","","37","2","","11","12","7","4",".361","12.0","87","1004856","114952"
"1969","Paul Blair","BAL","150","685","26","102","76","20",".192",".286",".285",".327",".477",".361","125","2.0","21.4","26.0","7.1","178","115","32","5","40","0","72","2","5","13","11","20","6",".361","24.1","97","1001031","111058"
"1985","Brett Butler","CLE","152","666","5","106","50","47",".120",".327",".311",".377",".431",".361","121","1.2","18.0","-3.1","3.8","184","137","28","14","63","2","42","1","3","8","8","47","20",".361","22.4","98","1001772","111812"
"1927","Freddy Leach","PHI","140","580","12","69","83","2",".138",".309",".306",".342",".444",".361","98","-0.5","-1.8","-4.9","1.3","164","118","30","4","21","","32","8","","15","","2","",".361","7.8","82","1007424","117579"
"1968","Mickey Mantle","NYY","144","547","18","57","54","6",".161",".262",".237",".385",".398",".361","145","0.6","25.1","-17.5","2.8","103","70","14","1","106","7","97","1","4","1","9","6","2",".361","25.8","76","1008082","118258"
"1927","Ernest Duff","CHT","37","158","1","25","18","5",".119","",".318",".348",".437",".361","110","0.7","2.8","-1.4","0.6","48","35","9","3","6","","","1","","2","","5","",".361","2.1","22","1015077",""
"1913","Clyde Engle","BOS","143","569","2","75","50","28",".094",".312",".289",".363",".384",".360","120","1.0","13.6","-9.2","2.5","144","113","17","12","53","","41","5","","13","","28","",".360","14.2","76","1003780","113850"
"1976","Lyman Bostock","MIN","128","517","4","75","60","12",".108",".339",".323",".364",".430",".360","130","0.0","16.6","-0.5","3.5","153","119","21","9","33","5","37","1","6","3","15","12","6",".360","17.1","71","1001220","111256"
"1905","Harry Lumley","BRO","130","557","7","50","47","22",".119","",".293",".340",".412",".360","122","0.6","15.3","-12.4","2.5","148","112","19","10","36","","","0","","16","","22","",".360","20.0","79","1007830","118000"
"1920","Wally Pipp","NYY","153","687","11","109","76","4",".149",".294",".280",".339",".430",".360","101","-2.2","-1.0","0.4","2.4","171","116","30","14","48","","54","6","","23","","4","10",".360","14.2","93","1010365","120594"
"1992","Jeff Bagwell","HOU","162","697","18","87","96","10",".171",".293",".273",".368",".444",".360","133","-0.5","24.5","-3.6","4.5","160","102","34","6","84","13","97","12","13","2","17","10","6",".360","22.9","98","547","110432"
"1930","Johnny Watwood","CHW","133","496","2","75","51","5",".091",".326",".302",".382",".393",".360","104","-2.9","0.2","-4.8","1.3","129","98","25","4","52","","35","3","","14","","5","7",".360","3.7","74","1013686","123993"
"1886","Ed Swartwood","BRO","122","544","3","95","58","37",".089","",".280",".377",".369",".360","127","1.5","23.8","-4.2","3.6","132","106","13","10","70","","","3","","","","37","",".360","24.6","104","1012766","123027"
"2014","Matt Holliday","STL","156","667","20","83","90","4",".169",".298",".272",".370",".441",".360","132","-2.0","21.8","-12.8","3.2","156","99","37","0","74","4","100","17","2","0","20","4","1",".360","25.8","97","1873","407812"
"1962","Leon Wagner","LAA","160","678","37","96","107","7",".232",".258",".268",".326",".500",".360","123","-0.6","18.5","-19.5","1.9","164","101","21","5","50","4","87","5","4","7","5","7","5",".360","20.8","100","1013487","123786"
"1917","Braggo Roth","CLE","145","569","1","69","72","51",".103",".333",".285",".355",".388",".360","120","7.0","18.5","-0.7","4.0","141","101","30","9","52","","73","2","","20","","51","",".360","18.3","73","1011238","121489"
"2015","Prince Fielder","TEX","158","693","23","78","98","0",".158",".323",".305",".378",".463",".360","125","-5.2","15.1","-18.8","2.0","187","136","28","0","64","14","88","11","5","0","21","0","0",".360","26.1","104","4613","425902"
"1970","Thurman Munson","NYY","132","526","6","59","53","5",".113",".332",".302",".386",".415",".360","127","-1.6","15.3","16.5","5.0","137","102","25","4","57","6","56","7","4","5","13","5","7",".360","16.9","76","1009334","119531"
"1956","Pete Runnels","WAS","147","646","8","72","76","5",".123",".335",".310",".372",".433",".360","113","-0.6","10.0","-6.8","2.6","179","133","29","9","58","2","64","2","4","4","18","5","5",".360","17.8","93","1011303","121555"
"1944","Babe Dahlgren","PIT","158","659","12","67","101","2",".130",".303",".289",".347",".419",".360","111","-0.2","8.2","-4.8","2.5","173","126","28","7","47","","56","6","","7","20","2","",".360","16.6","90","1002925","112992"
"1913","Clyde Milan","WAS","154","661","3","92","54","75",".078",".310",".301",".367",".378",".360","118","9.5","23.0","-5.8","4.2","174","144","18","9","58","","25","3","","21","","75","",".360","16.5","88","1008856","119046"
"2002","Jose Hernandez","MIL","152","582","24","72","73","3",".190",".404",".288",".356",".478",".360","119","-4.1","9.4","16.3","4.5","151","101","24","2","52","5","188","4","1","0","19","3","5",".360","16.6","86","688","115825"
"1966","Orlando Cepeda","- - -","142","563","20","70","73","9",".172",".319",".301",".361",".473",".360","128","-1.3","17.2","-8.0","3.1","151","105","26","0","38","12","79","14","9","1","12","9","9",".360","24.2","84","1002103","112157"
"1951","Mickey Vernon","WAS","141","602","9","69","87","7",".130",".307",".293",".358",".423",".360","112","-0.6","8.5","-8.5","2.0","160","114","30","7","53","","45","2","","1","11","7","6",".360","11.2","82","1013416","123711"
"1970","Reggie Jackson","OAK","149","514","23","57","66","26",".221",".288",".237",".359",".458",".360","126","-1.4","14.6","-4.5","2.7","101","55","21","2","75","11","135","8","3","2","10","26","17",".360","16.5","75","1006308","116439"
"1994","Mike Macfarlane","KCR","92","370","14","53","47","1",".207",".284",".255",".359",".462",".360","112","0.2","6.0","-3.1","1.5","80","46","17","3","35","1","71","18","3","0","9","1","0",".360","8.5","55","1007905","118073"
"1999","Ronnie Belliard","MIL","124","531","8","60","58","4",".133",".322",".295",".379",".429",".360","109","-1.5","4.8","4.4","2.5","135","94","29","4","64","0","59","0","4","6","16","4","5",".360","9.0","78","677","150071"
"1979","Amos Otis","KCR","151","660","18","100","90","30",".149",".322",".295",".369",".444",".360","118","4.2","19.0","-9.2","3.3","170","122","28","2","68","8","92","3","5","7","12","30","5",".360","19.0","96","1009893","120111"
"2011","Nick Swisher","NYY","150","635","23","81","85","2",".188",".295",".260",".374",".449",".360","124","-6.3","11.4","-0.1","3.4","137","84","30","0","95","6","125","5","8","1","18","2","2",".360","22.3","94","4599","430897"
"1882","George Gore","CHI","84","396","3","99","51","",".104",".330",".319",".369",".422",".360","137","0.0","21.6","0.9","3.3","117","92","15","7","29","","19","","","","","","",".360","25.8","82","1004879","114972"
"1982","Jerry Mumphrey","NYY","123","533","9","76","68","11",".149",".331",".300",".364",".449",".360","125","1.0","16.8","-7.0","2.8","143","100","24","10","50","4","66","0","3","3","17","11","3",".360","17.3","77","1009314","119511"
"1914","Del Pratt","SLB","158","654","5","85","65","37",".128",".300",".283",".341",".411",".360","125","-4.7","12.8","-2.2","4.0","165","113","34","13","50","","45","2","","18","","37","28",".360","17.6","86","1010512","120743"
"1965","Felipe Alou","MIL","143","599","23","80","78","8",".184",".300",".297",".338",".481",".360","130","0.1","21.0","7.6","5.1","165","111","29","2","31","4","63","5","4","4","6","8","4",".360","25.0","88","1000177","110186"
"1964","Elston Howard","NYY","150","607","15","63","84","1",".142",".337",".313",".371",".455",".360","129","0.0","20.3","18.9","6.0","172","127","27","3","48","12","73","5","4","0","10","1","1",".360","24.6","89","1006079","116204"
"1884","Roger Connor","NYG","116","515","4","98","82","",".101",".333",".317",".367",".417",".360","135","0.0","28.1","-11.2","3.0","151","115","28","4","38","","32","","","","","","",".360","32.5","108","1002537","112589"
"1969","Richie Hebner","PIT","129","532","8","72","47","4",".120",".324",".301",".380",".420",".360","126","0.6","16.2","-2.2","3.5","138","103","23","4","53","10","53","8","3","9","7","4","1",".360","18.6","75","1005571","115686"
"2001","Ichiro Suzuki","SEA","157","738","8","127","69","56",".107",".369",".350",".381",".457",".360","124","5.1","27.8","7.8","6.0","242","192","34","8","30","10","53","8","4","4","3","56","14",".360","20.7","112","1101","400085"
"2004","Chipper Jones","ATL","137","567","30","69","96","2",".237",".246",".248",".362",".485",".360","116","0.9","12.9","2.3","3.3","117","66","20","1","84","8","96","4","7","0","14","2","0",".360","14.5","85","97","116706"
"1951","Willard Marshall","BSN","136","523","11","65","62","0",".151",".275",".281",".351",".433",".360","113","-0.8","8.0","-12.7","1.3","132","90","24","7","48","","18","2","","4","18","0","3",".360","9.7","71","1008148","118324"
"1999","Mark Grudzielanek","LAD","123","534","7","72","46","6",".111",".363",".326",".376",".436",".360","115","-1.5","9.2","13.3","3.8","159","124","23","5","31","1","65","10","3","2","13","6","6",".360","9.0","79","653","115210"
"2015","Lorenzo Cain","KCR","140","604","16","101","72","28",".171",".347",".307",".361",".477",".360","128","6.3","26.0","11.8","6.1","169","113","34","6","37","4","98","12","4","0","16","28","6",".360","22.7","91","9077","456715"
"1902","Willie Keeler","BRO","133","612","0","86","38","19",".054","",".333",".365",".386",".360","128","-0.7","18.6","-0.6","4.0","186","161","20","5","21","","","7","","25","","19","",".360","17.2","89","1006747","116891"
"2013","Evan Longoria","TBR","160","693","32","91","88","1",".230",".312",".269",".343",".498",".360","132","-2.4","22.6","5.9","5.5","165","91","39","3","70","10","162","3","6","0","16","1","0",".360","25.2","101","9368","446334"
"1945","Herb Souell","KCM","40","165","1","33","29","4",".108","",".312",".345",".420",".360","125","0.7","5.1","-2.1","1.1","49","38","6","4","7","0","","1","","6","","4","",".360","3.8","22","1016459",""
"1995","Gary Gaetti","KCR","137","578","35","76","96","3",".257",".251",".261",".329",".518",".360","111","-0.8","7.5","6.9","3.3","134","72","27","0","47","6","91","8","6","3","7","3","3",".360","13.1","85","1004422","114508"
"1995","John Olerud","TOR","135","581","8","72","54","0",".114",".313",".291",".398",".404",".360","113","-0.2","9.6","-7.0","2.2","143","103","32","0","84","10","54","4","1","0","17","0","0",".360","13.1","86","1093","119976"
"2017","Andrew McCutchen","PIT","156","650","28","94","88","11",".207",".305",".279",".363",".486",".360","122","1.1","19.7","-3.6","3.8","159","99","30","2","73","5","116","4","3","0","10","11","5",".360","21.5","101","9847","457705"
"1909","Sherry Magee","PHI","143","603","2","60","66","38",".128","",".270",".339",".398",".360","124","3.7","18.7","-6.1","3.8","141","92","33","14","43","","","11","","27","","38","",".360","20.9","79","1007965","118135"
"1945","Henry Kimbro","BEG","51","239","2","41","17","4",".163","",".265",".339",".428",".360","111","0.6","3.7","-5.3","0.8","57","35","11","9","24","0","","0","","1","","4","",".360","5.5","32","1015692",""
"1893","Jack Boyle","PHI","116","555","4","105","81","22",".117",".298",".286",".351",".403",".360","98","0.0","-1.6","-1.8","1.5","144","102","29","9","41","","30","10","","","","22","",".360","1.8","92","1001289","111326"
"1898","Honus Wagner","LOU","151","635","10","80","105","27",".111","",".299",".341",".410",".360","111","1.8","11.3","3.2","3.6","176","134","29","3","31","","","6","","10","","27","",".360","12.7","96","1013485","123784"
"2023","Adolis Garcia","TEX","118","510","30","89","91","7",".256",".291",".256",".337",".511",".360","131","3.8","22.7","3.6","4.4","114","60","24","0","53","0","133","5","6","0","8","7","0",".360","17.7","80","19287","666969"
"1977","Don Money","MIL","152","644","25","86","83","8",".191",".279",".279",".348",".470",".360","123","0.1","17.4","9.1","4.9","159","103","28","3","57","2","70","7","6","4","17","8","5",".360","18.7","94","1009052","119248"
"1925","Jimmy Welsh","BSN","122","521","7","69","63","7",".128",".318",".312",".350",".440",".360","104","-0.3","2.7","-4.9","1.7","151","111","25","8","20","","24","8","","9","","7","4",".360","4.6","75","1013773","124080"
"1959","Johnny Temple","CIN","149","696","8","102","67","14",".119",".316",".311",".380",".430",".360","113","1.9","13.7","-5.5","3.4","186","137","35","6","72","2","40","2","13","11","11","14","3",".360","22.6","102","1012910","123180"
"1995","Rondell White","MON","130","525","13","87","57","25",".169",".336",".295",".356",".464",".360","115","2.7","12.9","6.3","3.6","140","90","33","4","41","1","87","6","4","0","11","25","5",".360","11.8","77","856","124185"
"1989","Don Mattingly","NYY","158","693","23","79","113","3",".174",".286",".303",".351",".477",".360","127","0.3","21.4","-9.3","3.7","191","129","37","2","51","18","30","1","10","0","15","3","0",".360","24.4","100","1008261","118443"
"1987","Harold Baines","CHW","132","554","20","59","93","0",".186",".316",".293",".352",".479",".360","119","-0.2","13.1","-15.0","1.7","148","98","26","4","46","2","82","1","2","0","12","0","0",".360","15.8","84","1000434","110456"
"1997","Todd Zeile","LAD","160","672","31","89","90","8",".191",".281",".268",".365",".459",".360","122","-1.4","17.4","-12.5","2.5","154","106","17","0","85","7","112","6","6","0","18","8","7",".360","15.5","98","457","124755"
"2016","Ben Zobrist","CHC","147","631","18","94","76","6",".174",".290",".272",".386",".446",".360","124","1.8","20.5","-7.8","3.3","142","90","31","3","96","6","82","4","4","4","17","6","4",".360","21.8","96","7435","450314"
"1947","Vern Stephens","SLB","150","634","15","74","83","8",".126",".292",".279",".359",".406",".360","107","-0.6","5.1","13.2","4.0","157","120","18","4","70","","61","0","","2","7","8","4",".360","11.4","86","1012501","122749"
"1935","Tony Lazzeri","NYY","130","544","13","72","83","11",".145",".301",".273",".361",".417",".360","107","-0.5","4.8","4.2","2.7","130","93","18","6","63","","75","3","","1","","11","5",".360","7.7","78","1007422","117577"
"1876","Jim O'Rourke","BSN","70","327","2","61","43","",".093",".341",".327",".358",".420",".360","142","0.0","20.7","-2.4","2.6","102","80","17","3","15","","17","","","","","","",".360","20.9","70","1009839","120054"
"1978","Roy Smalley","MIN","158","702","19","80","77","2",".160",".280",".273",".362",".433",".360","123","-2.6","15.6","13.7","5.6","160","107","31","3","85","3","70","1","7","23","16","2","8",".360","22.4","98","1012078","122337"
"2005","Felipe Lopez","CIN","148","648","23","97","85","15",".195",".322",".291",".352",".486",".360","116","3.9","17.4","8.0","4.7","169","107","34","5","57","2","111","1","7","3","8","15","7",".360","18.3","96","1311","150479"
"1932","Ripper Collins","STL","149","598","21","82","91","4",".195",".286",".279",".329",".474",".360","107","0.4","6.1","-10.1","1.6","153","96","28","8","38","","67","3","","8","","4","",".360","12.5","88","1002464","112510"
"1945","George Myatt","WAS","133","575","1","81","39","30",".069",".323",".296",".378",".365",".360","122","1.1","15.7","-1.3","3.5","145","120","17","7","63","","43","2","","20","3","30","11",".360","13.2","77","1009413","119611"
"1921","Robert Hudspeth","- - -","90","377","6","42","54","5",".135","",".294",".350",".429",".360","119","1.4","9.7","-11.8","1.0","102","71","21","4","27","","","3","","7","","5","",".360","4.9","53","1015505",""
"1911","Ping Bodie","CHW","145","618","4","75","97","14",".118","",".289",".348",".407",".360","111","-1.6","7.0","-1.7","2.8","159","115","27","13","49","","","1","","17","","14","",".360","10.8","84","1001112","111140"
"1992","David Justice","ATL","144","571","21","78","72","2",".190",".268",".256",".359",".446",".360","126","-1.3","14.9","15.8","5.1","124","79","19","5","79","8","85","2","6","0","1","2","4",".360","18.6","80","923","116798"
"1941","Jimmy Brown","STL","132","610","3","81","56","2",".100",".315",".306",".363",".406",".360","113","-0.2","9.3","11.5","4.0","168","128","28","9","45","","22","4","","12","8","2","",".360","13.4","85","1001528","111555"
"1891","Jack Crooks","COL","138","631","0","110","46","50",".087",".269",".245",".379",".331",".360","114","2.9","16.7","11.6","4.9","127","95","19","13","103","","47","9","","","","50","",".360","14.3","106","1002797","112857"
"1884","Fred Lewis","- - -","81","353","0","65","0","",".097","",".321",".365",".418",".360","139","0.0","20.4","-1.0","2.9","106","77","26","3","19","","","4","","","","","",".360","22.2","74","1007580","117733"
"1990","John Kruk","PHI","142","515","7","52","67","10",".140",".332",".291",".386",".431",".360","122","-0.2","13.3","-5.2","2.7","129","89","25","8","69","16","70","0","1","2","11","10","5",".360","16.4","74","1007184","117339"
"1923","Hank Severeid","SLB","122","480","3","50","51","3",".111",".311",".308",".356",".419",".360","97","1.0","-0.8","7.6","2.3","133","97","27","6","31","","11","1","","16","","3","0",".360","5.6","68","1011761","122016"
"1989","Tony Gwynn","SDP","158","679","4","82","62","40",".088",".345",".336",".389",".424",".360","132","1.5","25.5","-26.3","2.4","203","165","27","7","56","16","30","1","7","11","12","40","16",".360","23.8","98","1005166","115270"
"2009","Scott Rolen","- - -","128","535","11","76","67","5",".149",".327",".305",".368",".455",".360","116","5.4","16.3","6.0","4.1","145","97","36","1","45","1","62","7","8","0","4","5","4",".360","13.8","78","970","121409"
"1945","Artie Wilson","BBB","25","110","0","14","10","2",".059","",".317",".373",".376",".360","124","0.3","3.2","5.5","1.4","32","26","6","0","8","0","","1","","2","","2","",".360","2.5","15","1014060","124380"
"1976","Cesar Geronimo","CIN","149","555","2","59","49","22",".107",".373",".307",".382",".414",".360","123","2.4","16.5","-7.6","3.0","149","112","24","11","56","13","95","6","5","2","6","22","5",".360","18.2","76","1004639","114723"
"1995","Andres Galarraga","COL","143","604","31","89","106","12",".231",".325",".280",".331",".511",".360","94","1.4","-3.5","-6.4","1.1","155","92","29","3","32","6","146","13","5","0","14","12","2",".360","13.5","89","1390","114526"
"2023","Austin Riley","ATL","120","534","29","89","76","2",".234",".315",".280",".339",".514",".360","124","1.8","17.7","1.6","3.7","134","81","23","1","42","2","125","5","8","0","15","2","0",".360","18.4","83","18360","663586"
"1896","Billy Lush","WAS","97","425","4","74","45","28",".122",".278",".247",".369",".369",".360","98","1.2","-0.5","-11.5","0.4","87","63","9","11","66","","49","2","","5","","28","",".360","2.1","67","1007845","118016"
"2019","Hunter Dozier","KCR","139","586","26","75","84","2",".243",".339",".279",".348",".522",".360","123","-2.1","15.4","-7.8","2.8","146","81","29","10","55","2","148","3","5","0","9","2","2",".360","20.2","94","15117","641531"
"1937","Henry Kimbro","WEG","33","143","4","21","15","0",".164","",".273",".350",".438",".360","101","-0.1","0.0","-3.4","0.2","35","24","5","2","15","","","0","","2","","0","",".360","2.0","21","1015692",""
"1932","Tom Young","- - -","35","145","0","21","23","4",".061","",".321",".386",".382",".360","115","0.6","3.4","3.1","1.2","42","36","4","2","14","","","0","","2","","4","",".360","3.0","21","1016859",""
"1926","Marty McManus","SLB","149","627","9","102","68","5",".140",".308",".284",".350",".424",".360","94","-3.1","-8.1","4.3","2.0","156","107","30","10","55","","62","1","","22","","5","7",".360","7.1","87","1008637","118822"
"1940","Roy Weatherly","CLE","135","615","12","90","59","9",".161",".302",".303",".335",".464",".360","109","-2.2","5.9","2.1","3.0","175","117","35","11","27","","26","1","","9","9","9","8",".360","12.7","89","1013692","123999"
"1927","Russ Wrightstone","PHI","141","591","6","62","75","9",".098",".310",".306",".365",".403",".360","98","0.7","-0.9","-15.8","0.3","163","128","24","5","48","","20","2","","8","","9","",".360","7.6","83","1014294","124621"
"1928","Taylor Douthit","STL","154","752","3","111","43","11",".077",".309",".295",".384",".372",".360","102","1.0","2.9","11.2","3.9","191","150","35","3","84","","36","10","","10","","11","",".360","10.5","106","1003438","113503"
"2018","Aaron Hicks","NYY","137","581","27","90","79","11",".219",".264",".248",".366",".467",".360","129","7.0","26.8","-5.1","4.3","119","71","18","3","90","1","111","3","6","2","1","11","2",".360","21.4","89","5297","543305"
"1984","Von Hayes","PHI","152","622","16","85","67","48",".155",".320",".292",".359",".447",".360","128","4.4","23.8","-5.3","4.1","164","115","27","6","59","4","84","0","2","0","10","48","13",".360","20.3","90","1005531","115646"
"1969","Joe Torre","STL","159","678","18","72","101","0",".158",".310",".289",".361",".447",".360","124","0.3","18.7","-11.6","3.3","174","121","29","6","66","13","85","5","5","0","10","0","0",".360","23.5","96","1013133","123406"
"1976","Jim Rice","BOS","153","624","25","75","85","8",".200",".314",".282",".315",".482",".360","122","-0.4","14.1","-11.5","2.4","164","106","25","8","28","2","123","4","9","2","18","8","5",".360","20.4","86","1010897","121140"
"1947","Bob Harvey","NE","56","204","1","22","30","1",".112","",".299",".358",".412",".360","109","0.0","2.4","-2.4","0.7","56","38","16","1","17","","","0","","4","","1","",".360","3.7","28","1015385",""
"1981","Doug DeCinces","BAL","100","391","13","49","55","0",".191",".257",".263",".341",".454",".360","131","-1.1","12.0","0.6","2.7","91","53","23","2","41","2","32","1","2","1","12","0","3",".360","13.1","54","1003123","113183"
"1979","George Hendrick","STL","140","548","16","67","75","2",".156",".314",".300",".359",".456",".360","123","-0.6","14.1","-3.9","2.9","148","104","27","1","49","5","62","0","6","0","17","2","3",".360","15.5","79","1005642","115754"
"1927","Jesse Hubbard","AC","75","301","8","50","28","6",".152","",".262",".355",".414",".360","101","0.7","1.1","2.6","1.5","69","48","10","3","34","","","4","","4","","6","",".360","3.9","42","1015498",""
"2019","Luke Voit","NYY","118","510","21","72","62","0",".200",".345",".263",".378",".464",".360","126","-3.8","13.1","-16.9","1.4","113","70","21","1","71","2","142","9","1","0","12","0","0",".360","17.6","82","14811","572228"
"1986","Tony Bernazard","CLE","146","636","17","88","73","17",".155",".319",".301",".362",".456",".360","120","0.1","15.3","-8.7","2.9","169","120","28","4","53","5","77","6","8","7","6","17","8",".360","19.8","93","1000889","110918"
"1894","Frank Shugart","STL","133","574","7","103","72","21",".144",".304",".292",".350",".436",".360","86","-0.8","-15.8","-11.3","-0.1","154","110","19","18","38","","37","9","","","","21","",".360","-10.9","95","1011941","122202"
"1962","Jim Davenport","SFG","144","543","14","83","58","2",".159",".327",".297",".357",".456",".360","121","-1.6","12.3","10.2","4.2","144","100","25","5","45","3","76","2","3","8","13","2","5",".360","16.4","79","1003017","113081"
"1948","Willard Marshall","NYG","143","604","14","72","86","2",".147",".270",".272",".350",".419",".360","107","-0.1","4.9","-8.1","1.7","146","103","21","8","64","","34","1","","2","11","2","",".360","9.3","82","1008148","118324"
"1925","Frank O'Rourke","DET","124","554","5","88","57","5",".143",".309",".293",".350",".436",".360","96","-2.6","-5.7","3.8","1.8","141","89","40","7","32","","37","11","","29","","5","8",".360","4.7","80","1009838","120053"
"1918","Fred Merkle","CHC","129","541","3","55","65","21",".091",".316",".297",".349",".388",".360","121","1.2","12.9","2.0","3.5","143","110","25","5","35","","36","4","","20","","21","",".360","15.3","68","1008783","118971"
"1977","Ron Fairly","TOR","132","528","19","60","64","0",".186",".286",".279",".362",".465",".360","119","-1.2","10.7","-8.8","2.0","128","83","24","2","58","11","60","2","2","8","12","0","4",".360","15.2","77","1003907","113984"
"1899","Candy LaChance","BAL","125","508","1","65","75","31",".097","",".307",".350",".405",".360","104","2.4","5.1","0.0","2.2","145","111","23","10","21","","","10","","5","","31","",".360","6.6","77","1007233","117387"
