"Season","Name","Team","G","PA","HR","R","RBI","SB","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","H","1B","2B","3B","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","wOBA","wRAA","wRC","playerid","mlbamid"
"1928","Rap Dixon","BBS","60","255","13","53","58","15",".303","",".398",".478",".701",".519","189","2.6","34.9","5.9","4.9","88","54","14","7","34","","","0","","5","","15","",".519","36.4","69","1015054",""
"1922","Rogers Hornsby","STL","154","704","42","141","152","17",".321",".392",".401",".459",".722",".519","194","-1.2","91.8","-8.2","10.5","250","148","46","14","65","","50","1","","15","","17","12",".519","98.9","190","1006030","116156"
"1930","Babe Ruth","NYY","145","676","49","150","153","10",".373",".336",".359",".493",".732",".519","201","-3.6","96.6","-4.2","10.5","186","100","28","9","136","","61","1","","21","","10","10",".519","99.3","195","1011327","121578"
"1926","Turkey Stearnes","DS","93","389","21","94","103","21",".333","",".383",".458",".716",".519","189","3.5","52.0","5.7","6.9","131","68","33","9","41","","","6","","11","","21","",".519","53.9","103","1016481",""
"1938","Josh Gibson","HG","46","195","13","53","54","2",".352","",".370",".467",".721",".518","199","0.2","26.6","4.2","3.7","61","33","11","4","29","","","1","","4","","2","",".518","27.9","53","1015243",""
"1937","Buck Leonard","HG","42","197","13","54","55","2",".353","",".376",".462",".729",".517","191","0.2","25.9","3.2","3.5","64","33","15","3","25","0","","2","","2","","2","",".517","28.3","54","1015737",""
"1871","Levi Meyerle","PHN","26","132","4","45","40","4",".208",".480",".492",".500",".700",".517","190","1.1","29.4","-5.2","1.4","64","48","9","3","2","","1","","","","","4","0",".517","29.8","61","1008830","119019"
"1948","Stan Musial","STL","155","694","39","135","131","7",".326",".355",".376",".450",".702",".513","198","0.7","87.2","0.3","11.0","230","127","46","18","79","","34","3","","1","18","7","",".513","93.4","177","1009405","119602"
"1941","Buck Leonard","HG","47","199","11","54","40","6",".335","",".348",".472",".683",".512","233","1.0","30.1","-2.0","3.4","56","30","9","6","38","","","","","3","","6","",".512","27.6","51","1015737",""
"1934","Lou Gehrig","NYY","154","690","49","128","165","9",".344",".323",".363",".465",".706",".512","193","-1.0","90.0","-3.5","10.7","210","115","40","6","109","","31","2","","0","","9","5",".512","95.7","183","1004598","114680"
"1921","Charlie Blackwell","SLG","79","335","12","88","89","25",".265","",".405",".478",".670",".512","222","5.4","53.8","5.7","6.8","119","76","20","11","33","","","8","","7","","25","",".512","45.3","88","1014622",""
"1936","Lou Gehrig","NYY","155","719","49","167","152","3",".342",".322",".354",".478",".696",".512","178","-1.9","84.5","-6.7","9.6","205","112","37","7","130","","46","7","","3","","3","4",".512","97.6","194","1004598","114680"
"1949","Ted Williams","BOS","155","730","43","150","159","1",".307",".318",".343",".490",".650",".511","186","-0.4","81.5","-7.7","9.9","194","109","39","3","162","","48","2","","0","22","1","1",".511","95.5","182","1014040","124341"
"1928","Jud Wilson","BBS","42","187","6","41","45","10",".253","",".399",".492",".652",".511","184","1.7","24.1","18.2","4.8","63","37","18","2","25","","","4","","4","","10","",".511","25.3","49","1016808",""
"1930","Willie Wells","SLS","90","390","17","112","114","18",".271","",".411",".492",".682",".510","216","3.2","62.1","5.2","7.1","138","84","34","3","52","","","2","","5","","18","",".510","54.3","109","1016700",""
"1895","Ed Delahanty","PHI","116","578","11","149","106","46",".213",".418",".404",".500",".617",".510","177","2.5","79.3","-5.5","7.5","194","124","49","10","86","","31","6","","6","","46","",".510","78.7","174","1003155","113218"
"1947","Ted Williams","BOS","156","693","32","125","114","0",".292",".332",".343",".499",".634",".509","204","-1.2","86.0","-6.7","10.3","181","100","40","9","162","","47","2","","1","10","0","1",".509","92.3","174","1014040","124341"
"1919","Babe Ruth","BOS","130","542","29","103","114","7",".336",".319",".322",".456",".657",".509","203","-1.9","63.6","1.5","9.4","139","64","34","12","101","","58","6","","3","","7","",".509","70.9","127","1011327","121578"
"1930","Lou Gehrig","NYY","154","703","41","143","174","12",".343",".375",".379",".473",".721",".509","194","-5.2","92.8","-10.7","9.6","220","120","42","17","101","","63","3","","18","","12","14",".509","97.0","196","1004598","114680"
"1928","Babe Ruth","NYY","154","684","54","163","142","4",".386",".301",".323",".463",".709",".509","197","-2.5","86.9","-4.7","10.5","173","82","29","8","137","","87","3","","8","","4","5",".509","91.6","178","1011327","121578"
"1938","Jimmie Foxx","BOS","149","685","50","139","175","5",".356",".335",".349",".462",".704",".508","171","-1.5","72.6","-12.4","8.2","197","105","33","9","119","","76","0","","1","","5","4",".508","93.0","181","1004285","114367"
"1933","Jimmie Foxx","PHA","149","670","48","125","163","2",".347",".361",".356",".449",".703",".508","188","-0.9","78.9","-6.3","9.8","204","110","37","9","96","","93","1","","0","","2","2",".508","92.3","172","1004285","114367"
"1939","Jimmie Foxx","BOS","124","563","35","130","105","4",".334",".369",".360",".464",".694",".508","179","-1.1","62.3","-7.3","7.3","168","92","31","10","89","","72","2","","5","17","4","3",".508","75.4","146","1004285","114367"
"1954","Ted Williams","BOS","117","526","29","93","89","0",".290",".317",".345",".513",".635",".507","207","0.6","66.1","-1.7","8.4","133","80","23","1","136","","32","1","3","0","10","0","0",".507","71.1","131","1014040","124341"
"1923","Candy Jim Taylor","- - -","61","240","20","49","76","4",".340","",".372",".438",".712",".506","184","1.1","29.6","-3.1","3.3","80","50","7","3","25","","","0","","4","","4","",".506","31.2","63","1016529",""
"1934","Buddy Burbage","ND","30","129","2","37","23","4",".170","",".438",".512",".607",".506","217","0.7","18.8","-5.0","1.8","49","39","3","5","17","","","0","","3","","4","",".506","17.3","34","1014746",""
"1901","Nap Lajoie","PHA","131","582","14","145","125","27",".217","",".426",".463",".643",".506","186","0.5","72.1","0.7","8.9","232","156","48","14","24","","","13","","1","","27","",".506","81.0","157","1007259","117414"
"1945","Josh Gibson","HG","43","176","8","36","39","0",".270","",".372",".472",".642",".506","198","-0.2","20.8","-1.0","2.8","55","36","6","5","28","3","","0","","1","","0","",".506","22.8","42","1015243",""
"1911","Ty Cobb","DET","146","654","8","147","127","83",".201","",".420",".467",".621",".506","189","10.7","84.6","0.4","11.0","248","169","47","24","44","","","8","","11","","83","",".506","82.2","160","1002378","112431"
"1928","Rogers Hornsby","BSN","140","619","21","99","94","5",".245",".394",".387",".498",".632",".506","193","-0.2","78.6","-6.7","8.9","188","118","42","7","107","","41","1","","25","","5","",".506","81.4","160","1006030","116156"
"1948","Ted Williams","BOS","137","638","25","124","127","4",".246",".368",".369",".497",".615",".505","181","0.0","68.8","-5.8","8.5","188","116","44","3","126","","41","3","","0","10","4","0",".505","82.1","159","1014040","124341"
"1894","Bill Joyce","WAS","99","454","17","103","89","21",".293",".357",".355",".496",".648",".505","162","-1.2","52.5","-0.9","4.9","126","70","25","14","87","","33","12","","","","21","",".505","57.5","141","1006633","116779"
"1932","Babe Ruth","NYY","133","589","41","120","137","2",".319",".325",".341",".489",".661",".505","188","-1.2","73.8","-5.7","8.7","156","97","13","5","130","","62","2","","0","","2","2",".505","81.0","155","1011327","121578"
"1948","Artie Wilson","BBB","28","130","0","29","17","5",".165","",".435",".500",".600",".503","192","0.8","16.3","4.7","2.5","50","37","7","6","14","","","1","","0","","5","",".503","16.5","32","1014060","124380"
"1927","Willie Wells","SLS","96","418","29","90","108","9",".327","",".363",".450",".690",".503","199","1.0","54.2","5.9","7.1","131","76","21","5","56","","","1","","8","","9","",".503","53.4","107","1016700",""
"2003","Barry Bonds","SFG","130","550","45","111","90","7",".408",".304",".341",".529",".749",".503","212","0.7","80.0","5.6","10.2","133","65","22","1","148","61","58","10","2","0","7","7","0",".503","80.5","148","1109","111188"
"1923","Harry Heilmann","DET","144","626","18","121","115","9",".229",".414",".403",".481",".632",".502","185","-0.6","73.9","-1.1","9.0","211","138","44","11","74","","40","5","","23","","9","7",".502","79.2","161","1005590","115705"
"1894","Joe Kelley","BAL","129","619","6","165","111","46",".209",".415",".393",".502",".602",".501","158","1.6","70.9","-1.0","7.1","199","125","48","20","107","","36","5","","","","46","",".501","76.3","190","1006776","116926"
"1927","Roy Parnell","BBB","87","360","11","86","75","19",".231","",".422",".464",".653",".501","198","3.1","48.4","-3.3","5.5","141","96","24","10","25","","","1","","6","","19","",".501","45.6","91","1016097",""
"1896","Ed Delahanty","PHI","123","574","13","131","126","37",".234",".399",".397",".472",".631",".501","177","0.8","71.3","-1.1","7.7","198","124","44","17","62","","22","9","","4","","37","",".501","73.0","161","1003155","113218"
"1929","Turkey Stearnes","DS","68","297","16","64","91","12",".282","",".390",".468",".672",".499","192","1.8","39.3","-1.7","4.3","101","64","17","4","38","","","0","","7","","12","",".499","37.1","78","1016481",""
"1920","Cristóbal Torriente","CAG","66","261","2","53","58","8",".195","",".411",".479",".606",".499","221","2.2","36.3","6.9","5.4","95","63","21","9","30","","","0","","9","","8","",".499","32.3","62","1016595",""
"1930","Hack Wilson","CHC","155","709","56","146","191","3",".368",".342",".356",".454",".723",".499","169","0.0","78.5","-11.9","8.0","208","111","35","6","105","","84","1","","18","","3","",".499","91.5","192","1014083","124412"
"1994","Frank Thomas","CHW","113","517","38","106","101","2",".376",".336",".353",".487",".729",".499","205","-0.9","71.1","-15.4","7.0","141","68","34","1","109","12","61","2","7","0","15","2","3",".499","72.3","138","255","123245"
"1957","Mickey Mantle","NYY","144","623","34","121","94","16",".300",".378",".365",".512",".665",".498","217","2.7","88.9","0.2","11.4","173","105","28","6","146","23","75","0","3","0","5","16","3",".498","87.1","157","1008082","118258"
"1929","Jud Wilson","BBS","76","329","10","77","75","21",".218","",".404",".492",".621",".498","165","3.5","37.4","3.9","5.0","113","76","23","4","44","","","5","","7","","21","",".498","40.6","86","1016808",""
"1956","Mickey Mantle","NYY","150","652","52","132","130","10",".353",".352",".353",".464",".705",".498","202","2.1","86.4","4.1","11.5","188","109","22","5","112","6","99","2","4","1","4","10","1",".498","88.9","164","1008082","118258"
"1894","Billy Hamilton","PHI","129","679","4","192","87","98",".123",".413",".404",".523",".528",".497","158","9.6","85.4","-0.4","8.3","220","176","25","15","126","","17","9","","","","98","",".497","80.8","206","1005270","115386"
"1929","Rogers Hornsby","CHC","156","712","39","156","149","2",".299",".382",".380",".459",".679",".497","172","-0.8","77.5","16.8","11.0","229","135","47","8","87","","65","1","","22","","2","",".497","87.4","186","1006030","116156"
